Rank,Movie Name,Year,IMDb Rating
221,La haine,,8.1
222,Spotlight,,8.1
223,Wild Strawberries,,8.1
224,Jai Bhim,,8.6
225,The Terminator,,8.1
226,The Sound of Music,,8.1
227,Maharaja,,8.3
228,The Third Man,,8.1
229,Chainsaw Man - The Movie: Reze Arc,,8.3
230,The Big Lebowski,,8.1
231,The Best Years of Our Lives,,8.1
232,Before Sunset,,8.1
233,Room,,8.1
234,The Seventh Seal,,8.1
235,Hotel Rwanda,,8.1
236,The Incredibles,,8.0
237,Hachi: A Dog's Tale,,8.1
238,Platoon,,8.1
239,The Exorcist,,8.1
240,Rush,,8.1
241,The Iron Giant,,8.1
242,The Wizard of Oz,,8.1
243,Stand by Me,,8.1
244,My Father and My Son,,8.2
245,The Battle of Algiers,,8.1
246,The Passion of Joan of Arc,,8.1
247,The Handmaiden,,8.1
248,Network,,8.1
249,Drishyam,,8.2
250,Soorarai Pottru,,8.6
